source_image,patch_image,source_mask,patch_mask,orig_h,orig_w,patch_h,patch_w,x,y,x_end,y_end,pad_right,pad_bottom,stride_h,stride_w
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x00448.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x00448.png,1340,3900,512,512,448,448,960,960,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x00896.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x00896.png,1340,3900,512,512,896,448,1408,960,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x01344.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x01344.png,1340,3900,512,512,1344,448,1856,960,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x01792.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x01792.png,1340,3900,512,512,1792,448,2304,960,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x02240.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x02240.png,1340,3900,512,512,2240,448,2752,960,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x02688.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x02688.png,1340,3900,512,512,2688,448,3200,960,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x03136.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x03136.png,1340,3900,512,512,3136,448,3648,960,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x03584.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00448_x03584.png,1340,3900,512,512,3584,448,3900,960,196,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x00000.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x00000.png,1340,3900,512,512,0,896,512,1340,0,68,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x00448.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x00448.png,1340,3900,512,512,448,896,960,1340,0,68,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x00896.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x00896.png,1340,3900,512,512,896,896,1408,1340,0,68,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x01344.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x01344.png,1340,3900,512,512,1344,896,1856,1340,0,68,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x01792.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x01792.png,1340,3900,512,512,1792,896,2304,1340,0,68,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x02240.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x02240.png,1340,3900,512,512,2240,896,2752,1340,0,68,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x02688.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x02688.png,1340,3900,512,512,2688,896,3200,1340,0,68,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x03136.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x03136.png,1340,3900,512,512,3136,896,3648,1340,0,68,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0018_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x03584.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0018_segment_1_segmented_smoothed__y00896_x03584.png,1340,3900,512,512,3584,896,3900,1340,196,68,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x00000.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x00000.png,1353,3900,512,512,0,0,512,512,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x00448.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x00448.png,1353,3900,512,512,448,0,960,512,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x00896.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x00896.png,1353,3900,512,512,896,0,1408,512,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x01344.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x01344.png,1353,3900,512,512,1344,0,1856,512,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x01792.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x01792.png,1353,3900,512,512,1792,0,2304,512,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x02240.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x02240.png,1353,3900,512,512,2240,0,2752,512,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x02688.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x02688.png,1353,3900,512,512,2688,0,3200,512,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x03136.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x03136.png,1353,3900,512,512,3136,0,3648,512,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x03584.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00000_x03584.png,1353,3900,512,512,3584,0,3900,512,196,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x00000.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x00000.png,1353,3900,512,512,0,448,512,960,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x00448.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x00448.png,1353,3900,512,512,448,448,960,960,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x00896.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x00896.png,1353,3900,512,512,896,448,1408,960,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x01344.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x01344.png,1353,3900,512,512,1344,448,1856,960,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x01792.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x01792.png,1353,3900,512,512,1792,448,2304,960,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x02240.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x02240.png,1353,3900,512,512,2240,448,2752,960,0,0,448,448
/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves/DSC_0024_segment_1_segmented_smoothed.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/leaves_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x02688.png,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/mask_patches/DSC_0024_segment_1_segmented_smoothed__y00448_x02688.png,1353,3900,512,512,2688,448,3200,960,0,0,448,448
